"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logPow","UNIT {logPow}","logBB","UNIT {logBB}","Cbrain/Cblood","UNIT {Cbrain/Cblood}","LogD","UNIT {LogD}","P(BMEC)","UNIT {P(BMEC)}","Kpu(brain)","UNIT {Kpu(brain)}","Kpu(adipose)","UNIT {Kpu(adipose)}","Kpu(bone)","UNIT {Kpu(bone)}","Kpu(heart)","UNIT {Kpu(heart)}","Kpu(kidney)","UNIT {Kpu(kidney)}","Kpu(liver)","UNIT {Kpu(liver)}","Kpu(lungs)","UNIT {Kpu(lungs)}","Kpu(muscle)","UNIT {Kpu(muscle)}","Kpu(pancreas)","UNIT {Kpu(pancreas)}","Kpu(skin)","UNIT {Kpu(skin)}","Kpu(spleen)","UNIT {Kpu(spleen)}","Kpu(stomach)","UNIT {Kpu(stomach)}","Lambda(blood/g)","UNIT {Lambda(blood/g)}","Lambda(brain/g)","UNIT {Lambda(brain/g)}","Lambda(fat/g)","UNIT {Lambda(fat/g)}","Lambda(kidney/g)","UNIT {Lambda(kidney/g)}","Lambda((lungs/g)","UNIT {Lambda((lungs/g)}","Lambda(muscle/g)","UNIT {Lambda(muscle/g)}","Lambda(plasma/g)","UNIT {Lambda(plasma/g)}","Cblood/Cair","UNIT {Cblood/Cair}","Cbrain/Cair","UNIT {Cbrain/Cair}","Cfat/Cair","UNIT {Cfat/Cair}","Cfat/Cblood","UNIT {Cfat/Cblood}","Ckidney/Cblood","UNIT {Ckidney/Cblood}","Ckidney/Cair","UNIT {Ckidney/Cair}","Cliver/Cblood","UNIT {Cliver/Cblood}","Cliver/Cair","UNIT {Cliver/Cair}","Cmuscle/Cair","UNIT {Cmuscle/Cair}","Cmuscle/Cblood","UNIT {Cmuscle/Cblood}","Cwater/Cair","UNIT {Cwater/Cair}","SIF solubility","UNIT {SIF solubility}","Plasma stability","UNIT {Plasma stability}","LogL(water)","UNIT {LogL(water)}","LogL(blood)","UNIT {LogL(blood)}","logPow {measured, converted}","UNIT {logPow}","logBB {measured, converted}","UNIT {logBB}","Cbrain/Cblood {measured, converted}","UNIT {Cbrain/Cblood}","LogD {measured, converted}","UNIT {LogD}","P(BMEC) {measured, converted}","UNIT {P(BMEC)}","Kpu(brain) {measured, converted}","UNIT {Kpu(brain)}","Kpu(adipose) {measured, converted}","UNIT {Kpu(adipose)}","Kpu(bone) {measured, converted}","UNIT {Kpu(bone)}","Kpu(heart) {measured, converted}","UNIT {Kpu(heart)}","Kpu(kidney) {measured, converted}","UNIT {Kpu(kidney)}","Kpu(liver) {measured, converted}","UNIT {Kpu(liver)}","Kpu(lungs) {measured, converted}","UNIT {Kpu(lungs)}","Kpu(muscle) {measured, converted}","UNIT {Kpu(muscle)}","Kpu(pancreas) {measured, converted}","UNIT {Kpu(pancreas)}","Kpu(skin) {measured, converted}","UNIT {Kpu(skin)}","Kpu(spleen) {measured, converted}","UNIT {Kpu(spleen)}","Kpu(stomach) {measured, converted}","UNIT {Kpu(stomach)}","Lambda(blood/g) {measured, converted}","UNIT {Lambda(blood/g)}","Lambda(brain/g) {measured, converted}","UNIT {Lambda(brain/g)}","Lambda(fat/g) {measured, converted}","UNIT {Lambda(fat/g)}","Lambda(kidney/g) {measured, converted}","UNIT {Lambda(kidney/g)}","Lambda((lungs/g) {measured, converted}","UNIT {Lambda((lungs/g)}","Lambda(muscle/g) {measured, converted}","UNIT {Lambda(muscle/g)}","Lambda(plasma/g) {measured, converted}","UNIT {Lambda(plasma/g)}","Cblood/Cair {measured, converted}","UNIT {Cblood/Cair}","Cbrain/Cair {measured, converted}","UNIT {Cbrain/Cair}","Cfat/Cair {measured, converted}","UNIT {Cfat/Cair}","Cfat/Cblood {measured, converted}","UNIT {Cfat/Cblood}","Ckidney/Cblood {measured, converted}","UNIT {Ckidney/Cblood}","Ckidney/Cair {measured, converted}","UNIT {Ckidney/Cair}","Cliver/Cblood {measured, converted}","UNIT {Cliver/Cblood}","Cliver/Cair {measured, converted}","UNIT {Cliver/Cair}","Cmuscle/Cair {measured, converted}","UNIT {Cmuscle/Cair}","Cmuscle/Cblood {measured, converted}","UNIT {Cmuscle/Cblood}","Cwater/Cair {measured, converted}","UNIT {Cwater/Cair}","SIF solubility {measured, converted}","UNIT {SIF solubility}","Plasma stability {measured, converted}","UNIT {Plasma stability}","LogL(water) {measured, converted}","UNIT {LogL(water)}","LogL(blood) {measured, converted}","UNIT {LogL(blood)}","pH","UNIT {pH}","Temperature","UNIT {Temperature}","Equil. Method","Analytical Method","LogP exp Reference","LogP Exp class","Recommended","logPow Method","logPow Buffer","Aq. Phase","Phase Analysed","Tissue","Dataset","Species"
"OCCCOC1=CC=CC(CN2CCCCC2)=C1","-","-","26","BBCPD22","A25","15781411","1","mmc1","-","-","-0.02","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","95.5","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"N1(CC2=CC(OCCCNC3=NC=CC=C3)=CC=C2)CCCCC1","-","-","27","BBCPD23","A25","15781411","1","mmc1","-","-","0.69","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","489.8","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"N(C1=NC=CS1)CCCOC2=CC=CC(CN3CCCCC3)=C2","-","-","28","BBCPD24","A25","15781411","1","mmc1","-","-","0.44","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","275.4","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"N(C=1OC2=C(N1)C=CC=C2)CCCOC3=CC=CC(CN4CCCCC4)=C3","-","-","30","BBCPD26","A25","15781411","1","mmc1","-","-","0.22","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","166.0","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"CC1=CSC(N=C(N)N)=N1","-","-","2","ICI17148","A25","15781411","1","mmc1","-","-","-0.04","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","91.2","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"O=C(NC(CC)C1=CC=CC=C1)C2=C(C)C(C3=CC=CC=C3)=NC4=CC=CC=C42","-","-","64","SB222200","A25","15781411","2","mmc1","-","-","0.3","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","199.5","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","Train",""
"NC(=O)N1C2=CC=CC=C2C3OC3C4=CC=CC=C41","-","-","97","CBZ-EPO","A25","15781411","3023","3","-","-","-0.34","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.71","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)C)=N4)=C3CN1C)C=CC=C2Cl","-","-","98","L-663581","A25","15781411","3023","3","-","-","-0.3","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50.12","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)(O)C)=N4)=C3CN1C)C=CC=C2Cl","-","-","99","M1L-663,581","A25","15781411","3023","3","-","-","-1.34","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.571","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)(O)CO)=N4)=C3CN1C)C=CC=C2Cl","-","-","100","M2L-663581","A25","15781411","3023","3","-","-","-1.82","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.514","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","","",""
"ClC1=CC=CC(Cl)=C1N=C2NCCN2","-","-","149","Clonidine (SKB6)","A26","2894467","659","1","-","-","0.11","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","128.8","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CN(CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2)C","-","-","184","Imipramine (SKB8)","A26","2894467","659","1","-","-","0.83","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","676.1","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"S(CC=1OC(C(N)(C)C)=CC1)CCNC=2NC(=O)C(CC=3C=CC(=NC3)C)=CN2","-","-","5","Lupitidine (SKB5)","A26","2894467","666","5","-","-","-1.06","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.71","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"COC1=CC=C(C=C1)CN(C2=CC=CC=N2)CCN(C)C","-","-","244","Pyrilamine (Mepyramine SKB7)","A26","2894467","659","1","-","-","0.49","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","309.0","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"BrC1=CC=CN=C1CSCCNC2=C(N(=O)=O)C=CN2","-","-","15","SKB15","A26","2894467","662","3","-","-","-0.67","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.38","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"O=N(C1=C(NCCSCC2=NC=CC=C2)NC=C1)=O","-","-","16","SKB16","A26","2894467","662","3","-","-","-0.66","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.88","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"O=N(C1=C(NCCSCC2=NC=CC=C2)NC=C1CC3=CC=CC=C3)=O","-","-","17","SKB17","A26","2894467","662","3","-","-","-0.12","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","75.86","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"NC(N)=NC1=NC(C2=CC=CC=C2)=CS1","-","-","19","SKB19 (guanidinen4phenylthiazol2yl)","A26","2894467","663","4","-","-","-0.18","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","66.07","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CC1=CSC(N=C(N)N)=N1","-","-","2","SKB2 (guanidinen25methylthiazol2yl )","A26","2894467","663","4","-","-","-0.04","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","91.2","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"NC(N)=NC1=NC(C2=CC=CC(N)=C2)=CS1","-","-","20","SKB20 (guanidinen43aminophenylthiazol2yl)","A26","2894467","663","4","-","-","-1.15","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.079","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CC(NC1=CC=CC(C2=CSC(N=C(N)N)=N2)=C1)=O","-","-","22","SKB22","A26","2894467","663","4","-","-","-1.57","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.692","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CNC(NC1=CC(C2=CSC(N=C(N)N)=N2)=CC=C1)=NC#N","-","-","23","SKB23 (guanidinenmethylncyanon32nguanidylthiazol4ylphenyl )","A26","2894467","663","4","-","-","-1.54","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.884","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CN(CC1=CC=C(O1)CSCCNC2=C(N(=O)=O)C=CN2)C","-","-","3","SKB24 (pyrrole3nitro225dimethylaminomethylfuran2ylmethylthioethylamino)","A26","2894467","666","5","-","-","-1.12","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.586","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CN(CC1=CC=C(O1)CSCCNC2=C(N(=O)=O)C(CC3=CC=CC=C3)=CN2)C","-","-","4","SKB25 (ranidtidineanalog)","A26","2894467","666","5","-","-","-0.73","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.62","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CN(CC1=CC=C(C2=CC(NC3=C(N(=O)=O)C=CN3)=CC=C2)O1)C","-","-","5","SKB26 (pyrrole3nitro235dimethylaminomethylfuran2ylphenylamino )","A26","2894467","666","5","-","-","-0.27","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","53.7","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CN(CC1=CC=NC(C2=CC(NC3=C(N(=O)=O)C=CN3)=CC=C2)=C1)C","-","-","28","SKB29","A26","2894467","666","5","-","-","-0.28","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","52.48","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
"CC(NCCCOC1=CC(CN2CCCCC2)=CC=C1)=O","-","-","29","SKB30 (npropylacetamide33npiperidinylmethylphenoxy )","A26","2894467","666","5","-","-","-0.46","Log unit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.67","% ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","","-","","","","","","","","","","Blood","",""
